web-scraper-order,web-scraper-start-url,Rank,Name,Team,Pos,OPP,PTS,REB,AST,BLK,STL,FG_percent,FT_percent,3P_percent,FTM,2PM,3PM,Turnover,MIN,FPts,page
"1712978097-1","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","1","Shai Gilgeous-Alexander
    
    
    
        
            
                F
            
            •
            
                124 -
                108
            
        

        
        vs. BKN","","","","","","","","","","","","","","","","","",""
"1712978097-2","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","2","Anthony Davis
    
    
    
        
            
                F
            
            •
            
                129 -
                109
            
        

        
        @ NO","","","","","","","","","","","","","","","","","",""
"1712978097-3","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","3","Trae Young
    
    
    
        
            
                F
            
            •
            
                126 -
                130
            
        

        
        @ WAS","","","","","","","","","","","","","","","","","",""
"1712978097-4","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","4","Jayson Tatum
    
    
    
        
            
                F
            
            •
            
                101 -
                134
            
        

        
        @ SA","","","","","","","","","","","","","","","","","",""
"1712978097-5","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","5","Ja Morant
    
    
    
        
            
                F
            
            •
            
                92 -
                123
            
        

        
        vs. SAC","","","","","","","","","","","","","","","","","",""
"1712978097-6","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","6","Kevin Durant
    
    
    
        
            
                F
            
            •
            
                112 -
                107
            
        

        
        vs. ORL","","","","","","","","","","","","","","","","","",""
"1712978097-7","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","7","Domantas Sabonis
    
    
    
        
            
                F
            
            •
            
                92 -
                123
            
        

        
        @ MEM","","","","","","","","","","","","","","","","","",""
"1712978097-8","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","8","LeBron James
    
    
    
        
            
                F
            
            •
            
                129 -
                109
            
        

        
        @ NO","","","","","","","","","","","","","","","","","",""
"1712978097-9","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","9","Devin Booker
    
    
    
        
            
                F
            
            •
            
                112 -
                107
            
        

        
        vs. ORL","","","","","","","","","","","","","","","","","",""
"1712978097-10","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","10","De'Aaron Fox
    
    
    
        
            
                F
            
            •
            
                92 -
                123
            
        

        
        @ MEM","","","","","","","","","","","","","","","","","",""
"1712978097-11","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","11","Bradley Beal
    
    
    
        
            
                F
            
            •
            
                112 -
                107
            
        

        
        vs. ORL","","","","","","","","","","","","","","","","","",""
"1712978097-12","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","12","Desmond Bane
    
    
    
        
            
                F
            
            •
            
                92 -
                123
            
        

        
        vs. SAC","","","","","","","","","","","","","","","","","",""
"1712978097-13","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","13","Brandon Ingram
    
    
    
        
            
                F
            
            •
            
                129 -
                109
            
        

        
        vs. LAL","","","","","","","","","","","","","","","","","",""
"1712978097-14","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","14","Chet Holmgren
    
    
    
        
            
                F
            
            •
            
                124 -
                108
            
        

        
        vs. BKN","","","","","","","","","","","","","","","","","",""
"1712978097-15","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","15","Jaylen Brown
    
    
    
        
            
                F
            
            •
            
                101 -
                134
            
        

        
        @ SA","","","","","","","","","","","","","","","","","",""
"1712978097-16","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","16","Jaren Jackson Jr.
    
    
    
        
            
                F
            
            •
            
                92 -
                123
            
        

        
        vs. SAC","","","","","","","","","","","","","","","","","",""
"1712978097-17","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=12-31-2023","17","Paolo Banchero
    
    
    
        
            
                F
            
            •
            
                112 -
                107
            
        

        
        @ PHO","","","","","","","","","","","","","","","","","",""
