web-scraper-order,web-scraper-start-url,Rank,Name,Team,Pos,OPP,PTS,REB,AST,BLK,STL,FG_percent,FT_percent,3P_percent,FTM,2PM,3PM,Turnover,MIN,FPts,page
"1712979723-1","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=02-29-2024","1","Giannis Antetokounmpo
    
    
    
        
            
                F
            
            •
            
                99 -
                111
            
        

        
        @ CHA","","","","","","","","","","","","","","","","","",""
"1712979723-2","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=02-29-2024","2","Nikola Jokic
    
    
    
        
            
                F
            
            •
            
                103 -
                97
            
        

        
        vs. MIA","","","","","","","","","","","","","","","","","",""
"1712979723-3","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=02-29-2024","3","Anthony Davis
    
    
    
        
            
                F/OT
            
            •
            
                134 -
                131
            
        

        
        vs. WAS","","","","","","","","","","","","","","","","","",""
"1712979723-4","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=02-29-2024","4","Shai Gilgeous-Alexander
    
    
    
        
            
                F
            
            •
            
                132 -
                118
            
        

        
        @ SA","","","","","","","","","","","","","","","","","",""
"1712979723-5","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=02-29-2024","5","Kevin Durant
    
    
    
        
            
                F
            
            •
            
                110 -
                105
            
        

        
        vs. HOU","","","","","","","","","","","","","","","","","",""
"1712979723-6","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=02-29-2024","6","LeBron James
    
    
    
        
            
                F/OT
            
            •
            
                134 -
                131
            
        

        
        vs. WAS","","","","","","","","","","","","","","","","","",""
"1712979723-7","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=02-29-2024","7","Devin Booker
    
    
    
        
            
                F
            
            •
            
                110 -
                105
            
        

        
        vs. HOU","","","","","","","","","","","","","","","","","",""
"1712979723-8","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=02-29-2024","8","Jalen Brunson
    
    
    
        
            
                F
            
            •
            
                99 -
                110
            
        

        
        vs. GS","","","","","","","","","","","","","","","","","",""
"1712979723-9","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=02-29-2024","9","Damian Lillard
    
    
    
        
            
                F
            
            •
            
                99 -
                111
            
        

        
        @ CHA","","","","","","","","","","","","","","","","","",""
"1712979723-10","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=02-29-2024","10","Stephen Curry
    
    
    
        
            
                F
            
            •
            
                99 -
                110
            
        

        
        @ NY","","","","","","","","","","","","","","","","","",""
