web-scraper-order,web-scraper-start-url,name,fpts
"1712975528-1","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Giannis Antetokounmpo",""
"1712975528-2","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Shai Gilgeous-Alexander",""
"1712975528-3","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Domantas Sabonis",""
"1712975528-4","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Kevin Durant",""
"1712975528-5","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Devin Booker",""
"1712975528-6","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Donovan Mitchell",""
"1712975528-7","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","De'Aaron Fox",""
"1712975528-8","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Kawhi Leonard",""
"1712975528-9","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Victor Wembanyama",""
"1712975528-10","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Damian Lillard",""
"1712975528-11","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Anthony Edwards",""
"1712975528-12","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","James Harden",""
"1712975528-13","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Jamal Murray",""
"1712975528-14","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Alperen Sengün",""
"1712975528-15","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Brandon Ingram",""
"1712975528-16","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Karl-Anthony Towns",""
"1712975528-17","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","DeMar DeRozan",""
"1712975528-18","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Bam Adebayo",""
"1712975528-19","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Paolo Banchero",""
"1712975528-20","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Miles Bridges",""
"1712975528-21","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Cade Cunningham",""
"1712975528-22","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Bradley Beal",""
"1712975528-23","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Chet Holmgren",""
"1712975528-24","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Jimmy Butler",""
"1712975528-25","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Nikola Vucevic",""
"1712975528-26","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Mikal Bridges",""
"1712975528-27","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Fred VanVleet",""
"1712975528-28","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Jusuf Nurkic",""
"1712975528-29","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=01-31-2024","Kyle Kuzma",""
