web-scraper-order,web-scraper-start-url,name,fpts
"1712975087-1","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Domantas Sabonis",""
"1712975087-2","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Tyrese Haliburton",""
"1712975087-3","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Anthony Edwards",""
"1712975087-4","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Jalen Brunson",""
"1712975087-5","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","De'Aaron Fox",""
"1712975087-6","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","LeBron James",""
"1712975087-7","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Bam Adebayo",""
"1712975087-8","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Tyrese Maxey",""
"1712975087-9","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Jaren Jackson Jr.",""
"1712975087-10","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Dejounte Murray",""
"1712975087-11","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","DeMar DeRozan",""
"1712975087-12","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Jaylen Brown",""
"1712975087-13","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Pascal Siakam",""
"1712975087-14","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Collin Sexton",""
"1712975087-15","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Dalano Banton",""
"1712975087-16","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Anfernee Simons",""
"1712975087-17","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Jarrett Allen",""
"1712975087-18","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","D'Angelo Russell",""
"1712975087-19","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Kristaps Porzingis",""
"1712975087-20","https://fantasydata.com/nba/fantasy-basketball-projections?scope=2&season=2024&seasontype=1&conference=1&date=03-18-2024","Desmond Bane",""
