web-scraper-order,web-scraper-start-url,newpage,team,matchup,date,winloss,min,pts,fgm,fga,fgpercent,3pm,3pa,3ppercent,ftm,fta,ftpercent,oreb,dreb,reb,ast,stl,blk,tov,pfidk,plusminus
"1710880555-1","https://www.nba.com/stats/teams/boxscores","","CLE","CLE @ IND","03/18/2024","W","240","108","38","80","47.5","12","32","37.5","20","28","71.4","9","30","39","27","8","4","14","18","5"
"1710880555-2","https://www.nba.com/stats/teams/boxscores","","IND","IND vs. CLE","03/18/2024","L","240","103","42","91","46.2","9","38","23.7","10","16","62.5","14","31","45","28","8","3","11","24","-5"
"1710880555-3","https://www.nba.com/stats/teams/boxscores","","DET","DET @ BOS","03/18/2024","L","240","94","36","84","42.9","9","29","31.0","13","15","86.7","8","35","43","21","6","3","13","15","-25"
"1710880555-4","https://www.nba.com/stats/teams/boxscores","","BOS","BOS vs. DET","03/18/2024","W","240","119","43","95","45.3","22","49","44.9","11","13","84.6","15","38","53","30","8","8","11","9","25"
"1710880555-5","https://www.nba.com/stats/teams/boxscores","","PHI","PHI vs. MIA","03/18/2024","W","240","98","37","85","43.5","13","36","36.1","11","12","91.7","7","39","46","23","7","12","12","16","7"
"1710880555-6","https://www.nba.com/stats/teams/boxscores","","MIA","MIA @ PHI","03/18/2024","L","240","91","35","89","39.3","12","33","36.4","9","14","64.3","11","38","49","23","8","3","15","13","-7"
"1710880555-7","https://www.nba.com/stats/teams/boxscores","","POR","POR @ CHI","03/18/2024","L","240","107","40","88","45.5","8","28","28.6","19","25","76.0","13","30","43","21","7","5","13","24","-3"
"1710880555-8","https://www.nba.com/stats/teams/boxscores","","CHI","CHI vs. POR","03/18/2024","W","240","110","41","93","44.1","11","33","33.3","17","21","81.0","13","27","40","26","9","5","9","21","3"
"1710880555-9","https://www.nba.com/stats/teams/boxscores","","UTA","UTA vs. MIN","03/18/2024","L","240","104","39","84","46.4","14","32","43.8","12","14","85.7","14","33","47","25","6","3","17","13","-10"
"1710880555-10","https://www.nba.com/stats/teams/boxscores","","MIN","MIN @ UTA","03/18/2024","W","240","114","44","91","48.4","16","41","39.0","10","12","83.3","12","23","35","27","9","9","9","15","10"
"1710880555-11","https://www.nba.com/stats/teams/boxscores","","ATL","ATL @ LAL","03/18/2024","L","240","105","42","98","42.9","9","41","22.0","12","15","80.0","12","30","42","32","8","5","9","14","-31"
"1710880555-12","https://www.nba.com/stats/teams/boxscores","","LAL","LAL vs. ATL","03/18/2024","W","240","136","52","90","57.8","15","36","41.7","17","20","85.0","4","44","48","39","6","4","9","15","31"
"1710880555-13","https://www.nba.com/stats/teams/boxscores","","NYK","NYK @ GSW","03/18/2024","W","240","119","44","91","48.4","14","37","37.8","17","20","85.0","14","30","44","29","6","1","13","17","7"
"1710880555-14","https://www.nba.com/stats/teams/boxscores","","GSW","GSW vs. NYK","03/18/2024","L","240","112","42","88","47.7","14","36","38.9","14","18","77.8","12","27","39","29","7","5","13","16","-7"
"1710880555-15","https://www.nba.com/stats/teams/boxscores","","MEM","MEM @ SAC","03/18/2024","L","265","111","37","98","37.8","13","38","34.2","24","30","80.0","15","34","49","22","13","7","14","23","-10"
"1710880555-16","https://www.nba.com/stats/teams/boxscores","","SAC","SAC vs. MEM","03/18/2024","W","265","121","42","94","44.7","11","35","31.4","26","32","81.3","15","44","59","30","7","10","19","25","10"
"1710880555-17","https://www.nba.com/stats/teams/boxscores","","LAC","LAC vs. ATL","03/17/2024","L","240","93","28","74","37.8","11","36","30.6","26","29","89.7","10","30","40","17","10","5","16","13","-17"
"1710880555-18","https://www.nba.com/stats/teams/boxscores","","ATL","ATL @ LAC","03/17/2024","W","240","110","41","84","48.8","17","34","50.0","11","12","91.7","10","35","45","32","10","7","16","22","17"
"1710880555-19","https://www.nba.com/stats/teams/boxscores","","BKN","BKN @ SAS","03/17/2024","L","265","115","47","102","46.1","8","31","25.8","13","19","68.4","11","37","48","29","13","5","12","20","-7"
"1710880555-20","https://www.nba.com/stats/teams/boxscores","","SAS","SAS vs. BKN","03/17/2024","W","265","122","46","99","46.5","9","37","24.3","21","23","91.3","13","37","50","30","6","10","18","17","7"
"1710880555-21","https://www.nba.com/stats/teams/boxscores","","ORL","ORL vs. TOR","03/17/2024","W","240","111","43","85","50.6","11","36","30.6","14","20","70.0","10","29","39","22","7","4","15","16","15"
"1710880555-22","https://www.nba.com/stats/teams/boxscores","","TOR","TOR @ ORL","03/17/2024","L","240","96","37","84","44.0","8","31","25.8","14","15","93.3","11","26","37","23","7","3","18","18","-15"
"1710880555-23","https://www.nba.com/stats/teams/boxscores","","WAS","WAS vs. BOS","03/17/2024","L","240","104","41","89","46.1","10","34","29.4","12","14","85.7","10","30","40","24","3","5","16","20","-26"
"1710880555-24","https://www.nba.com/stats/teams/boxscores","","BOS","BOS @ WAS","03/17/2024","W","240","130","43","87","49.4","24","50","48.0","20","24","83.3","12","31","43","30","9","6","15","17","26"
"1710880555-25","https://www.nba.com/stats/teams/boxscores","","DEN","DEN @ DAL","03/17/2024","L","240","105","37","84","44.0","12","28","42.9","19","22","86.4","6","31","37","26","7","6","8","16","-2"
"1710880555-26","https://www.nba.com/stats/teams/boxscores","","DAL","DAL vs. DEN","03/17/2024","W","240","107","42","100","42.0","9","35","25.7","14","21","66.7","22","38","60","22","5","5","12","21","2"
"1710880555-27","https://www.nba.com/stats/teams/boxscores","","DET","DET vs. MIA","03/17/2024","L","240","101","38","83","45.8","14","36","38.9","11","14","78.6","7","37","44","24","4","7","12","19","-3"
"1710880555-28","https://www.nba.com/stats/teams/boxscores","","MIA","MIA @ DET","03/17/2024","W","240","104","40","89","44.9","12","35","34.3","12","16","75.0","11","36","47","24","7","2","10","11","3"
"1710880555-29","https://www.nba.com/stats/teams/boxscores","","MIL","MIL vs. PHX","03/17/2024","W","240","140","51","94","54.3","24","41","58.5","14","14","100","10","25","35","35","11","2","11","12","11"
"1710880555-30","https://www.nba.com/stats/teams/boxscores","","PHX","PHX @ MIL","03/17/2024","L","240","129","51","87","58.6","14","33","42.4","13","15","86.7","7","32","39","36","7","5","14","16","-11"
"1710880555-31","https://www.nba.com/stats/teams/boxscores","","NYK","NYK @ SAC","03/16/2024","W","240","98","37","86","43.0","11","39","28.2","13","16","81.3","10","42","52","19","8","9","16","21","7"
"1710880555-32","https://www.nba.com/stats/teams/boxscores","","SAC","SAC vs. NYK","03/16/2024","L","240","91","30","85","35.3","10","37","27.0","21","26","80.8","11","31","42","22","7","5","12","20","-7"
"1710880555-33","https://www.nba.com/stats/teams/boxscores","","UTA","UTA vs. MIN","03/16/2024","L","240","100","38","83","45.8","6","26","23.1","18","21","85.7","10","41","51","23","4","5","16","14","-19"
"1710880555-34","https://www.nba.com/stats/teams/boxscores","","MIN","MIN @ UTA","03/16/2024","W","240","119","44","93","47.3","19","41","46.3","12","15","80.0","7","37","44","31","8","6","9","16","19"
"1710880555-35","https://www.nba.com/stats/teams/boxscores","","LAL","LAL vs. GSW","03/16/2024","L","240","121","47","92","51.1","12","34","35.3","15","18","83.3","8","31","39","32","3","4","10","13","-7"
"1710880555-36","https://www.nba.com/stats/teams/boxscores","","GSW","GSW @ LAL","03/16/2024","W","240","128","51","97","52.6","14","34","41.2","12","15","80.0","14","31","45","38","3","4","7","19","7"
"1710880555-37","https://www.nba.com/stats/teams/boxscores","","NOP","NOP vs. POR","03/16/2024","W","240","126","52","97","53.6","13","33","39.4","9","10","90.0","10","29","39","36","8","5","10","13","19"
"1710880555-38","https://www.nba.com/stats/teams/boxscores","","POR","POR @ NOP","03/16/2024","L","240","107","42","84","50.0","12","33","36.4","11","12","91.7","10","26","36","23","3","7","20","15","-19"
"1710880555-39","https://www.nba.com/stats/teams/boxscores","","CHI","CHI vs. WAS","03/16/2024","W","240","127","49","85","57.6","8","24","33.3","21","29","72.4","12","39","51","33","9","4","15","16","29"
